age,num. of men,num. of women
11,0,1
14,1,0
15,1,0
17,52,42
18,104,80
19,143,119
20,260,72
21,335,104
22,409,135
23,469,175
24,537,203
25,583,225
26,664,250
27,679,266
28,791,266
29,770,232
30,777,239
31,791,240
32,822,204
33,794,206
34,805,211
35,805,213
36,798,230
37,791,219
38,814,236
39,742,253
40,836,255
41,775,262
42,830,249
43,840,238
44,787,233
45,751,214
46,706,215
47,714,184
48,628,156
49,607,172
50,623,159
51,538,137
52,458,133
53,379,103
54,375,75
55,315,80
56,266,63
57,222,57
58,210,40
59,172,42
60,156,44
61,130,29
62,130,16
63,103,20
64,89,16
65,70,17
66,60,9
67,40,10
68,30,5
69,26,6
70,20,5
71,17,4
72,17,2
73,13,1
74,9,1
75,13,1
76,6,1
77,5,1
78,4,2
79,2,1
80,1,0
81,1,0
