age,0.05,0.5,0.95
18,01:21:57,01:40:56,02:07:14
19,01:22:09,01:39:52,02:00:32
20,01:18:55,01:38:32,02:04:08
21,01:18:44,01:37:27,02:02:25
22,01:17:14,01:37:34,02:00:30
23,01:20:45,01:37:40,02:00:27
24,01:17:21,01:37:58,02:03:13
25,01:15:46,01:37:29,01:58:58
26,01:17:47,01:38:25,02:02:16
27,01:19:32,01:37:01,01:59:48
28,01:18:32,01:37:20,02:02:05
29,01:17:29,01:37:00,02:00:04
30,01:18:23,01:36:39,01:59:49
31,01:17:41,01:37:36,02:02:28
32,01:18:27,01:38:16,01:58:24
33,01:19:54,01:38:10,01:59:37
34,01:18:57,01:37:10,02:01:33
35,01:18:44,01:37:24,02:02:41
36,01:19:54,01:37:33,02:00:04
37,01:20:35,01:38:09,02:00:13
38,01:19:54,01:37:43,02:00:52
39,01:20:07,01:36:57,01:59:54
40,01:20:47,01:38:23,02:02:02
41,01:18:24,01:37:48,01:59:26
42,01:21:12,01:39:11,02:04:01
43,01:19:39,01:39:09,02:02:57
44,01:19:36,01:38:56,02:00:48
45,01:19:51,01:38:46,02:02:42
46,01:20:28,01:38:45,02:01:38
47,01:20:37,01:39:18,02:03:35
48,01:22:55,01:39:43,02:02:01
49,01:22:14,01:40:05,02:02:59
50,01:22:09,01:41:19,02:05:07
51,01:21:56,01:41:07,02:03:20
52,01:24:46,01:41:51,02:08:42
53,01:24:17,01:41:30,02:06:30
54,01:25:34,01:43:40,02:06:27
55,01:26:05,01:43:05,02:05:36
56,01:26:58,01:44:45,02:06:51
57,01:27:16,01:45:36,02:06:40
58,01:29:59,01:45:32,02:10:47
59,01:28:56,01:46:08,02:08:40
60,01:27:12,01:45:47,02:07:47
61,01:28:54,01:45:59,02:11:05
62,01:26:30,01:48:15,02:12:18
63,01:28:26,01:48:39,02:11:29
