Worst participant time,Time diff between worst and best results
01:02:55,00:02:00
01:07:40,00:01:05
01:11:26,00:03:09
01:13:32,00:02:18
01:13:52,00:07:48
01:13:59,00:03:31
01:15:52,00:02:58
01:16:22,00:03:35
01:17:13,00:04:06
01:17:20,00:04:50
01:17:29,00:03:44
01:17:38,00:04:47
01:18:07,00:01:06
01:18:45,00:04:10
01:18:57,00:07:51
01:19:14,00:07:14
01:19:14,00:03:33
01:19:17,00:03:30
01:19:34,00:02:14
01:19:36,00:02:42
01:19:46,00:06:43
01:19:52,00:04:26
01:19:53,00:06:10
01:19:58,00:02:39
01:19:58,00:03:58
01:20:13,00:06:00
01:20:19,00:03:49
01:20:28,00:03:31
01:20:32,00:08:13
01:20:38,00:05:37
01:20:46,00:05:30
01:21:03,00:03:13
01:21:07,00:05:38
01:21:16,00:05:07
01:21:20,00:04:06
01:21:32,00:02:53
01:21:33,00:11:32
01:21:39,00:07:40
01:21:52,00:02:34
01:23:02,00:03:21
01:23:26,00:05:06
01:23:28,00:12:53
01:23:37,00:03:05
01:23:40,00:07:28
01:23:49,00:05:57
01:23:52,00:12:34
01:23:58,00:03:23
01:23:59,00:06:57
01:24:05,00:06:08
01:24:09,00:06:44
01:24:12,00:08:21
01:24:29,00:02:52
01:24:30,00:10:59
01:24:39,00:06:38
01:24:51,00:05:38
01:24:51,00:03:13
01:24:56,00:06:28
01:25:11,00:13:47
01:25:14,00:05:44
01:25:17,00:11:38
01:25:24,00:03:52
01:25:33,00:03:54
01:25:39,00:10:13
01:25:44,00:07:39
01:25:49,00:08:52
01:26:04,00:07:38
01:26:08,00:09:56
01:26:11,00:05:50
01:26:14,00:08:46
01:26:20,00:14:56
01:26:35,00:06:53
01:26:48,00:09:34
01:26:51,00:05:12
01:26:59,00:07:03
01:27:05,00:04:23
01:27:11,00:05:11
01:27:14,00:08:20
01:27:21,00:04:18
01:27:23,00:05:42
01:27:27,00:07:54
01:27:33,00:05:28
01:27:36,00:12:12
01:27:38,00:05:32
01:27:39,00:09:01
01:27:47,00:05:14
01:27:49,00:04:48
01:27:52,00:07:14
